Escola,Código INEP,Categoria Administrativa,Logradouro,Número,Bairro,CEP,Telefone,Latitude,Longitude
ESCOLA INFANTIL RENASCER,35004088,Privada,MONTE BELVEDERE,984 VILA MARGARIDA,MARGARIDA,11330-580,(13) 34635844,                              ,                              
CRECHE E EDUCACAO INFANTIL ABC,35004589,Privada,GENERAL MARIO HERMES DA FONSECA,655 ESPLANADA DOS BARREIROS,BARREIROS,11340-180,,-23.96044833,-46.40936667
ANJO GABRIEL,35004590,Privada,VALTER DO AMARAL,39 CATIAPOA,CATIAPOA,11370-305,,-23.96077084,-46.38895709
NUCLEO DE RECREACAO INFANTIL APRENDER BRINCANDO,35004815,Privada,MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,449 CIDADE NAUTICA,NAUTICA,11355-000,,-23.94918706,-46.40940402
CRECHE PROFESSORA REGINA CELIA DOS SANTOS,35004886,Pública,CAPITAO ANTAO DE MOURA,429 PARQUE BITARU,BITARU,11330-100,,-23.9677208,-46.3937494
CRECHE MUNICIPAL EDUARDO FURKINI,35004888,Pública,DOUTOR ARCHIMEDES BAVA,SN PARQUE DAS BANDEIRAS,BANDEIRAS,11346-190,,-23.9821152,-46.4948187
CRECHE MUNICIPAL PAULO DE SOUZA,35004889,Pública,DEPUTADO ULISSES GUIMARAES,SN JARDIM RIO BRANCO,BRANCO,11347-000,,-23.9759727,-46.4771376
ESCOLA DE EDUCACAO INFANTIL SHALOM,35004942,Privada,PROFESSOR LOVELY PLAUCHUT,452 VILA MATEO BEI,BEI,11335-300,,-23.96482667,-46.40895167
CASA DA VOVO LIBANIA CRECHE COMUNITARIA,35005340,Privada,VINTE E DOIS DE JANEIRO,630 FUNDOS,FUNDOS,11310-090,,-23.9699138,-46.3857808
PENIEL CRECHE COMUNITARIA,35005343,Privada,TENENTE DURVAL DO AMARAL,725 CATIAPOA,CATIAPOA,11390-300,,-23.9568458,-46.3840025
LAR CINDERELA CRECHE COMUNITARIA,35005347,Privada,FRANCISCO SILVA SANTOS,323 JARDIM GUASSU,GUASSU,11370-530,,-23.9514511,-46.3770646
CRECHE MUNDO DA CRIANCA,35005348,Privada,VEREADOR LOURIVAL MOREIRA DO AMARAL,604 PARQUE SAO VICENTE,VICENTE,11365-100,,-23.9577278,-46.3943482
COLEGIO NASCIMENTO EDUCACAO,35005406,Privada,COSTA REGO,50 VILA SAO JORGE,JORGE,11380-140,(13) 35615642,-23.9546209,-46.3739948
CANTINHO DO ZEZINHO CRECHE COMUNITARIA,35005443,Privada,SACADURA CABRAL,399 VILA JOCKEI CLUBE,CLUBE,11365-080,,-23.94777155,-46.3921991
COLEGIO VISAO,35006080,Privada,RUA TENENTE DURVAL DO AMARAL,245 CATIAPOA,CATIAPOA,11390-300,(13) 33954800,-23.96062202,-46.39045697
CRECHE SANDRA ANTONELI,35006095,Pública,ELISANGELA SANTOS MENDES,SN SAMARITA,SAMARITA,11345-585,,-23.98871445,-46.46972985
ESCOLA DE EDUCACAO INFANTIL SAPINHO SAPECA,35006124,Privada,CUIABA,196 VILA NOSSA SENHORA DE FATIMA,FATIMA,11355-250,,-23.95497687,-46.40395354
ESCOLA FORTEC UNIDADE VI,35006249,Privada,FREI GASPAR,2078 PARQUE SAO VICENTE,VICENTE,11340-000,(13) 34661868,                              ,                              
