nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
HOFE SEG SAO VICENTE,MUNICIPAL,11340000,FREI GASPAR,2587,BEIRA MAR,13 88239212,-239.575.481.911,-464.025.163.651,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV,MUNICIPAL,11320160,ONZE DE JUNHO,291,BOA VISTA,13 34917540,-239.716.855.194,-463.727.545.738,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV,MUNICIPAL,11320120,RANGEL PESTANA,209,BOA VISTA,13 35913175,-239.694.601.205,-46.372.218.132,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
IACS PRESIDENTE WILSON SAO VICENTE,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,456,BOA VISTA,1332813000,-239.677.395,-463.481.869,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV,MUNICIPAL,11320120,RANGEL PESTANA,209,BOA VISTA,13 32332362,-239.707.155,-463.730.805,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESF SA CATARINA SAO VICENTE,MUNICIPAL,11365330,RUA TRAVESSA DO PARQUE,S/N,CATIAPOA,1334663797,-23.957.364,-46.393.161,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE,MUNICIPAL,11370300,AV PERSIO DE QUEIROZ FILHO,S/N,CATIAPOA,(13)34672887,-239.567.176.184,-463.873.311.661,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
APAE SAO VICENTE,MUNICIPAL,11390220,RUA FELICIANO MARCONDES DA SILVA,205,CATIAPOA,(13)34677828,-239.624.203,-463.820.005,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
EDUARDO PALMIERI,MUNICIPAL,11390200,AV MARTINS FONTES,480,CATIAPOA,34684645,-239.606.852,-464.067.146,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE,MUNICIPAL,11390360,RUA SALVADOR MALAQUIAS LEAL,88,CATIAPOA,1330186811,-239.564.426,-463.860.826,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RADICOM SAO VICENTE,MUNICIPAL,11310040,PADRE ANCHIETA,224,CENTRO,13 34811671,-239.682.150.567,-463.849.854.469,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,1150,CENTRO,1334662962,-23.963.294,-46.387.726,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CLINICA MULT IMAGEM SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,790,CENTRO,1332286700,-23.964.822,-46.386.613,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LEANDRO DE LIMA GIACCHERI SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICK,365,CENTRO,13988222244,-23.967.809,-46.385.047,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ALCYR NOGUEIRA LIMA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,,-23.964.591,-46.388.623,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RMIC IMAGENS DE DIAGNOSTICOS SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,637,CENTRO,1333711098,-23.966.127,-46.385.701,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO DRA RENATA GUELLI SAO VICENTE,MUNICIPAL,11310400,RUA XV DE NOVEMBRO,576,CENTRO,1334673793,-23.963.755,-46.385.414,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,462,CENTRO,1335695700,-239.665.239.076,-463.838.911.057,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
FARMACIA PAGUE MENOS SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,706,CENTRO,1334664339,-239.682.455.033,-463.754.039.034,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MONICA BATALHA PRADO SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,1473,CENTRO,1334662803,-239.652.812.665,-463.821.235.299,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
TOXICOLOGICO SAO VICENTE,MUNICIPAL,11310000,BARAO DO RIO BRANCO,94,CENTRO,13 96933033,-23.966.440.575,-463.860.958.815,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MAXI EXAMES,MUNICIPAL,11310070,R JACOB EMERICK,365,CENTRO,(13) 3467-9303,-239.671.768,-463.858.775,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
TAMARA MACHADO FRACALANZA BOCCATELLI,MUNICIPAL,11320010,AVENIDA QUINTINO BOCAIUVA,405,CENTRO,,-23.967.568.011,-463.846.850.395,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
INSTITUTO ORTOPEDICO ITARARE SAO VICENTE,MUNICIPAL,11320920,AV PRESIDENTE WILSON,1340,CENTRO,(13)34681550,-23.965.492,-46.380.825,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SERVICO DE PERICIAS MEDICAS SAO VICENTE,MUNICIPAL,11310010,RUA FREI GASPAR,637,CENTRO,(13)34677333,-23.966.083,-4.638.569,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CTA BETINHO SAO VICENTE,MUNICIPAL,11320010,AV QUINTINO BOCAIUVA,1261,CENTRO,(13)34698522,-23.967.086,-46.387.824,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
SECRETARIA DE SAUDE DE SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,462,CENTRO,(13)35695700,-23.966.264,-46.383.546,MANHA-TARDE,,,,,0.0,0.0,SIM
COMPLEXO DE ESPECIALIDADES MEDICAS SAO VICENTE,MUNICIPAL,11310400,RUA XV DE NOVEMBRO,176,CENTRO,(13)34650900,-239.670.484.113,-463.869.380.951,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
LABORATORIO DR SERGIO TAVOLARO PEREIRA SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,825,CENTRO,(13)34688696,-239.649.502.627,-463.855.295.034,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SAO PEDRO ANALISES CLINICAS SAO VICENTE,MUNICIPAL,11310420,RUA IPIRANGA,4,CENTRO,(13)34673124,,,TARDE,,,,,1.0,0.0,NAO
INSTITUTO OFTALMOLOGICO ACCIOLY DE GUSMAO SAO VICENTE,MUNICIPAL,11320060,RUA AMADOR BUENO DA RIBEIRA,68,CENTRO,13 35695555,-23.966.794,-46.377.159,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA PADRE ANCHIETA SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,1136,CENTRO,(13)34682829,-23.965.742,-46.379.113,MANHA-TARDE,1.0,0.0,0.0,1.0,1.0,1.0,NAO
